id;F1;CodF1;F2a;F2b;F3_1;F4;F5;F6;F7;F8;A1;A2_1;A2_2;A2_3;A2_4;A3a_1;A3a_2;A4_1;A4_2;A4_3;A4_4;A4_5;A4_6;A4_7;A4_8;A4_9;A4_10;A4_11;A4_12;A4_13;A5;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;A6_11;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A7_7;A7_8;A7_9;A7_10;A7_11;B1_1;B1_2;B1_3;B1_4;B1_5;B1_6;B1_7;B1_8;B1_9;B1_10;B1_11;B2_1;B2_2;B2_3;B3_1;B3_2;B3_3;B3_4;B3_5;B3_6;B4_1;B4_2;B4_3;B4_4
2119;18;2;1;1;Alicante;2;2;2;3;1;3;0;1;1;0;Mecanic simulator;Bo6;3;4;2;4;3;2;4;2;1;4;2;3;3;2;3;2;4;2;4;1;4;3;5;3;3;3;2;4;3;3;3;2;3;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2115;18;2;2;2;Benidorm;2;5;3;3;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
2113;18;2;1;1;Valencia;2;5;3;1;1;3;1;0;1;0;Sonic Unleashed;Free Fire;1;5;1;3;4;5;4;5;2;5;5;5;5;1;5;2;1;5;1;1;4;4;4;1;1;5;5;5;5;5;5;4;1;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2112;19;2;1;1;Burgos;6;5;3;1;1;2;1;1;1;0;Rocket league;Valorant;3;3;2;2;3;5;4;5;4;5;5;5;3;5;5;4;2;4;5;2;1;4;4;2;1;1;5;4;4;1;5;4;4;5;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2106;18;2;2;2;Cambrils;1;4;3;1;1;1;0;0;1;0;Homescapes;Clash Royale;4;3;4;2;1;4;1;1;1;3;4;5;3;1;4;3;1;1;1;1;2;1;1;1;1;4;4;2;4;3;4;2;5;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2105;18;2;2;2;Andalucía;3;5;3;1;1;3;1;0;1;1;Episode;FIFA;4;3;4;3;3;4;2;3;2;4;4;3;3;3;3;3;2;2;2;3;4;4;3;2;2;3;5;3;4;3;4;3;2;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2094;17;2;2;2;Palma de mallorca;1;4;2;1;1;1;0;0;1;0;Hay day;Duolingo;3;2;1;1;4;2;1;1;1;5;3;4;4;1;5;4;1;5;1;5;5;4;5;1;1;4;5;4;5;4;5;1;3;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2091;18;2;2;2;Albacete;2;2;3;1;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2089;19;2;2;2;Calella;1;3;2;1;1;2;0;1;1;0;FIFA;NBA 2k;5;4;5;1;4;2;1;1;1;3;3;2;2;1;4;2;1;1;1;1;2;1;4;1;1;1;5;4;4;1;4;4;2;5;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2083;18;2;2;2;Valencia;2;5;3;1;1;2;0;0;1;0;..;..;3;3;3;3;3;3;3;3;3;3;3;3;3;1;4;3;4;3;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2080;18;2;1;1;Albacete;2;5;2;1;1;2;0;0;1;0;free fire;call of duty;3;3;4;4;4;4;5;5;5;5;5;4;4;3;4;4;3;3;5;4;4;5;4;1;4;4;5;4;4;4;4;3;4;5;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2079;18;2;2;2;Pamplona;6;6;3;1;1;2;1;0;1;0;minecraft;free fire;4;3;5;2;2;4;4;2;4;4;2;3;4;4;4;5;2;4;4;2;2;4;5;3;2;4;5;4;2;2;5;4;4;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2078;19;2;1;1;Barcelona;1;6;3;2;1;2;0;1;1;0;Easport;NBA;4;4;5;4;4;3;5;3;4;4;4;3;3;4;4;4;3;4;4;5;4;4;5;5;4;3;4;4;3;4;4;4;4;3;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2077;18;2;2;2;Murcia;2;3;3;1;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;3;4;4;4;5;5;5;5;3;5;5;4;5;4;4;5;5;4;3;3;4;5
2076;18;2;1;1;Esplugues de Llobregat;1;5;3;2;1;2;0;0;1;0;Call of duty mobile;Soul knight;4;3;4;3;5;5;4;4;5;5;4;3;3;4;2;3;4;4;5;4;4;5;5;3;4;5;5;5;5;5;5;3;4;3;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2073;18;2;2;2;Caceres;3;4;3;1;1;1;0;0;1;0;2048;brawl stars;4;5;2;4;5;4;4;4;2;4;5;4;4;4;5;4;2;1;2;4;4;4;4;2;4;3;5;5;4;4;5;4;5;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2067;18;2;1;1;Lugo;5;1;3;1;1;4;1;1;1;0;Red dead redenption 2;Gta V;3;5;4;2;4;5;5;4;5;5;5;5;5;4;4;3;4;1;5;4;5;5;5;1;2;4;5;5;5;4;5;4;5;1;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2063;18;2;2;2;Cordoba;3;5;3;1;1;1;1;0;1;0;Blockudoku;Angry birds;4;3;4;4;4;2;1;1;1;3;3;3;4;1;4;4;1;1;1;2;4;3;4;1;1;1;5;4;4;1;5;4;2;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2062;18;2;1;1;Palma;1;5;3;1;1;4;1;1;0;0;Rocket League;Mario Kart 8 Deluxe;4;5;1;3;2;5;1;1;1;5;5;5;4;1;4;1;1;3;1;1;1;1;1;1;1;3;5;5;5;1;4;4;2;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2061;18;2;2;2;Cambrils;1;2;3;1;1;2;1;0;1;0;Clash royal;Bit coin;4;4;4;4;4;5;3;1;2;5;5;5;4;3;5;3;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2059;18;2;2;2;ponferrada;5;4;3;1;1;3;1;0;1;0;brawl stars;minecraft;4;3;3;2;2;5;1;2;1;3;5;4;4;1;5;3;1;4;1;4;4;4;4;1;1;1;5;4;5;1;5;4;4;4;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2057;19;2;1;1;cambrils;1;4;3;2;1;2;0;0;1;0;clash royale;fifa;5;4;5;5;4;4;3;4;2;4;4;4;4;1;4;2;2;4;4;2;4;4;4;1;2;1;5;4;4;4;4;4;4;2;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2055;19;2;1;1;San Pedro del Pinatar;2;3;3;1;1;2;1;0;1;0;Krunker.io;TouHou 7;4;2;4;3;5;2;1;1;1;3;2;4;2;1;4;1;1;1;1;4;4;4;4;1;1;1;5;4;1;1;5;1;1;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2052;18;2;2;2;Calañas;3;2;3;1;1;1;0;0;1;0;Bus Simulator;Blaw star;2;2;2;2;2;5;1;1;1;2;5;5;4;1;4;4;1;1;1;1;1;1;1;1;1;3;5;3;5;1;4;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2051;18;2;2;2;Chiclana;3;1;2;3;1;1;0;0;1;0;Piano tiles;Subary surf;5;3;4;5;5;4;3;2;2;4;4;3;3;1;4;4;3;3;2;4;3;2;2;2;3;4;5;4;2;3;5;5;4;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2049;17;2;2;2;aragon;1;4;3;2;1;1;0;0;1;0;roblox;coches;5;5;3;3;4;3;4;1;2;5;3;4;4;7;5;4;3;3;1;1;1;1;5;1;1;1;5;5;5;3;3;5;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2048;18;2;1;1;barcelona;1;6;3;1;1;3;1;0;1;0;fifa;governor of poker;2;4;3;4;4;4;1;4;1;5;4;4;3;5;4;4;3;4;3;5;5;4;4;3;4;4;5;3;5;5;3;4;4;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2042;19;2;2;2;Malaga;3;5;3;2;1;3;1;1;1;1;Carnival Tycoon;Codycross;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2040;18;2;2;2;Pineda de Mar;1;3;3;1;1;3;1;1;1;0;Valorant;Animal Crossing;4;4;5;4;4;4;2;2;2;5;3;4;4;3;5;4;1;4;2;3;4;3;4;1;2;2;4;4;4;4;4;5;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2039;19;2;2;2;Santander;6;4;3;1;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;5;3;5;4;5;5;5;5;5;3;2;5;5;5;4;4;4;5;5;5;5;4
2036;19;2;1;1;Villanueva de Mesía;3;2;3;1;1;4;0;0;1;0;Brawl Stars;Pokémon Masters Ex;2;5;2;2;2;5;5;4;4;5;5;5;5;3;4;4;1;4;4;1;4;5;5;4;3;5;5;5;5;4;5;2;4;1;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2035;18;2;2;2;barcel;1;6;3;1;1;2;0;0;1;1;colorwood sort;sims4;5;4;4;4;4;4;4;2;4;5;4;4;4;4;4;4;5;5;5;2;2;5;5;4;5;4;4;5;5;5;5;5;5;5;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2027;19;2;1;1;Valencia;2;5;2;1;1;2;1;0;1;0;Fortnite;Rocket League;3;4;3;2;3;4;2;3;2;4;4;4;4;1;4;2;3;3;3;1;1;2;3;2;1;2;5;4;3;2;4;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2024;19;2;2;2;A Coruña;5;5;2;3;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;2;4;4;4;4;5;5;5;3;3;4;5;5;3;5;3;5;5;4;5;5;4
1990;18;2;2;2;Manacor;1;4;3;1;1;2;0;0;1;0;Call of duty;Ns;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
